Nickname,Title,Play Hours,Profile Link,Comment,Date,Language
TowardEson,0,41,https://steamcommunity.com/profiles/76561198364924021/,"First of all, if you are a player who watched to buy, then my suggestion is: Don't buy it, at least this is the case at this stage.
If you are a war hammer fan, I will recommend you to buy as appropriate, but if you are not a fans of war hammers at all, then repeat the first sentence.

In this game, I mainly play Jianwei (completely unlocked). In this version of this version, it is basically one of the clown, and I can only play as auxiliary.My evaluation is only based on the play experience of Jianwei.

So why don't I recommend buying?

In the beginning of the version, Jian Wei was undoubtedly a lot of sky, fighting back on brainless bombs, and it was really cool to provide teammates with blood recovery and resurrection services.
If the production team does not want to balance it, then I will recommend you to buy it.

First, the player's mobility is too bad.
Big Brother, this is Astart, not Ogrin, who is wearing heavy armor, you are running faster than the mortal in the game. Is this appropriate?The dark tide superman next door runs faster than your so -called Old E God.No matter which version, this is a problem that I have been talking about. Many big maps, you are not running fast, the only use is to use it on the way to run.Hongru, the bullet is full.

The second point is also the most important point. The production team is mentally retarded, especially in terms of balance.

Someone may spray, oh, it is obvious that you are too simple at first, and it is difficult to come.
He ordered the church, we want the strong to the strong, that is, three powerful Astarts to play the same strong sea of ​​battles, not you cut everyone into old, weak, sick and disabledCut with bugs.

There are too many places to change the disgusting people in terms of balance, here is one by one.

First, most of the actions of Jianwei can be canceled afterwards. Now it is gone. When you are doing thousands of children, you have to be careful to make a move. He is afraid that people can do not dry you directly for a red circle.

Second, the dodge of invincible frames shorten and the judgment of the attack is shortened. What do you change this B gadget? I ask?Do you think the player is so comfortable, right?Have you ever experienced the current game?Do you use one -third of your Orgarin's IQ to think about it, is this too supermodel?Yes, very supermodel, where is the supermodel?Because except for fighting back, all of them are waste!You can only flash against the unstoppable red circle!You can definitely flash one -on -one, what about the sea?You roll off the invincible frames, as long as you want to eat damage as soon as you roll, then I will also play a cow.

Third, when I talk about this back, I am angry. Do you know why everyone has no brain counterattack?It's because the melee damage you designed is really true!Very tm low!I cut 3 sets that it is better to play a high damage once, isn't it a buddy, are you gangsters who are gangsters to force and fear and abuse?Have you considered why players have formed these play?You can lay down to sleep at this cut. If you accidentally find you to find your teeth.

Fourth, you say a balanced, and the surface is adjusted. In fact, your bright and secret reforms are not known.The first three problems seem to be within your expectations, right?If you want to repeat the super earth, just say.
Take remote, my sword guard is really afraid of remote, especially when fighting, you can't hold the shield all the time?Do you can't stop the gun behind, right?You said that you have reduced the hit rate of bullets during melee, and what is the result?When I approached the enemy to play close -up war, your B monsters are unwilling to melee, just to shoot a gun with a face with a face, your TM orange predecessor is ""as long as this distance, you can’t escape it!"" YesThe hit rate is reduced. The hit rate on TM's face is not low. My TM full blood sword sword guard N5 was evaporated by a bug directly.Dao Lie Fire, what do you let me do?Give you a shield for you?Do you move that pig's mind, is this a balance that people can think of?

In summary, the balance of disgusting people and the almost failed designs caused by balance.

Also, your production capacity is low enough, the original god is 10,000 times higher than your production capacity.

I like this game very much. Astart is really handsome. Titus's story is also worthy of talked about it, but that's it.

In this game, purely borrowed the light of the war hammer, embroidered the pillow rotten grass bag, and could not see it.",2024/11/5,zh-cn
劲夫KING,0,172.7,https://steamcommunity.com/profiles/76561198994134046/,"The shotgun is scraped,
The attack is always cut,
It's upset to fight close,
The skill tree is single,
There is no gaming,
Playing games is to teach,
Suggestion is not listened
The big cake is to be drawn,
The production capacity is not enough,
The bad review is deserved.",2024/11/10,zh-cn
SN@KE,1,164.2,https://steamcommunity.com/id/cagoBHuK/,"One of the best Warhammer 40000 game i have ever played! Juicy finisher animation, good melee and range combat system, good campaign, amazing PVE mode, deep character customization system.

I am leaving the game since there is not much content and there is nothing more to discover by that moment: 7 PVE missions, 3 PVP maps and less than 10 hours campaign. Plus add problems with disconections due to server issues. Thought this should be fixed by now but its been 2 months since the release and i still got disconected every 1-2 hour. It is very dissapointed to play a map for 30 mins and got disconnected from the server prior 5 min to the end.

Still i would reccomened this game for new players and Warhammer 40000 veterans!
For the Emperor!",2024/11/9,en
QNra,1,119.1,https://steamcommunity.com/id/koala911/,"Honestly, related to games, Space Marine 2 and Black Myth Wukong made this summer legendary!

- The story mod is awesome but short, around 6 missions with really cool cinematics.

- The online coop is 10/10, this part is where you should enjoy more in this game, is just perfect! and is where you get most of the game time.

- The multiplayer is ""meh"", you have it there, it's an option, you could play some matches but is the weakest point in the game. it feels slow with a lot of awkward situations and gimmicks.

Took me 119hrs to unlock all the steam achievements.

BTW, game run excellent, since I bought it I only had 1 crash. let me tell you with the today's standards, that's a good record.",2024/10/22,en
巴拉巴斯·丹提欧克,1,65.2,https://steamcommunity.com/profiles/76561199173200592/,"The art is full, and the atmosphere is full, but the Sima Saber group will give you humorous, the character performance is low, the skill design is not as good as the dark tide.Steel armor is made of folding paper and so on.",2024/10/27,zh-cn
For the emperor,0,145.9,https://steamcommunity.com/profiles/76561198375505792/,"The official is simply not playing your own game. When you shoot your head, you can get back to the armor. The whole is contrary to your professional settings. Do you need to take care of your front row and the back row?Whenever a thousand -character terminator is brushed opposite the defense off the fire, is you going to cut the back row or not?If you rush out, you ca n’t return to A. As a result, it has a domineering body. After you finish it, you ca n’t return it after you execute it. What should I do?Dead!N5 is simply the brain disability of operations. You can walk again by the Hell Hall of Hall. You can not be too good for you, you will float to you.",2024/10/18,zh-cn
狗剩,1,105.7,https://steamcommunity.com/profiles/76561199027344866/,"Your mother forced you to be so stupid. A PVE game weakens the role of the player three times and five times. You are your mother who think of it. When the production team is born, the smell of the mother will smoke your mind and make this kind of BBad, the damage of the explosive weapon is too low, since the service, it is mentioned that you can't see it at all, your eyes make your mother smell blind?The difficulty of N5 The difficulty of your mother's teammates can not return to armor, and which dog's stool is thoughtful. You simply deleted the assault. The back row was easy to die.Several cheap mothers who do n’t understand and do n’t understand and do n’t understand.",2024/10/18,zh-cn
Torien,1,45.9,https://steamcommunity.com/id/t0rienn/,"Simple, straightforward and perfect.If you want to relieve stress, here you have: shooting, explosions everywhere, unbridled beating, and the pleasure of cutting, pulling and trampling Tiranids.This is a game that does not curl, without fear - where the son cries and the mother does not see.Imagine something like a mixture between God of War and Gears of War.

You can still play the main campaign and parallel operations in co-op, and PVP, although simple, is very well done and fun.

If you already enjoy the 40k universe, you will feel at home.And if you don't know it yet, give it a chance.Start here and then try the first Space Marine, which is very f#da and always appears on sale for a cheap price.

Now, if you really enjoy this universe, the variety of games is immense.It has a game for everyone: Warcraft style RTS, Left 4 Dead style FPS, Action RPG such as Diablo, BG3 -like shift RPG, and Tactical Tacting Combat, type XCOM.

For the emperor!",2024/10/24,pt
your favorite //CYBER//pony,1,33.5,https://steamcommunity.com/id/gurofan100500/,"Empty company.Cool continuation of the series.
But the multiplayer, to be honestly dull a little, although he also has his buzz.
Definitely the game costs time and money spent on it.",2024/10/21,ru
ArthurKong,1,86.4,https://steamcommunity.com/profiles/76561198816063713/,"Warhammer Space Marine 2, it was for me the best game I played in recent years.Not because it is a game that tries to have a complex plot or something that tries to reach all audiences and end up pleasing anyone.This game tries and managed to propose to be simply a fun game.It has a companion, PVP and PVE mode and you will have fun with any of them.

The campaign is short, but it doesn't mean it's bad, because amount is not quality, few games have achieved a long and good campaign and are memorable to this day.The campaign has beginning, middle and end, well explained and with characters that will teach you through actions important values ​​for your real life, such as honor, duty and sacrifice (and for the most religious the importance of faith in your master/Salvador).The campaign has a natural difficulty that you can't be able to continue.

I didn't play PVP much enough just to get the achievements, but I had a lot of fun PVP is unbalanced only that the fun is that it is not pay to win, everyone has access to the same weapons, classes and so on.Maps well built and easy to memorize and play.

PVE is a show apart with operations that is co-reported with the campaign, very challenging Boss Fights, well-balanced and distinct levels of difficulties, each class you choose has a completely distinct gameplay built and skills.

What surprised me in this game was the relationship of the community with the developers where, everything is being resolved as quickly and fairly possible without fan service or something.

Space Marine 2 is an AAA pearl, for those who were unbelieving with the game market, this game is the solution.I met the Warhammer universe because I made new friends and after a long time away from multiplayer games I found one where it is healthy to invest my time.

Ps: No microtransation, even cosmetics you have to buy with coins that you can only play as well as everyone: D",2024/11/1,pt
