Nickname,Title,Play Hours,Profile Link,Comment,Date,Language
A1SOR,1,77.5,https://steamcommunity.com/id/ALSOR/,"I knocked out all Achivka and thesis I tell about Space Marine 2

The irony is that I hate to knock out acerification, platinum and that's all.Only in exceptional cases when the gameplay is too much like.Usually I just go through the game and do not even open a list of available achievements.

But in this case, something went wrong.From the game I just did not want to come off.Well, I decided that since I was dependent in it, why not knock out everything that is in it.Happiness is that all that you need to do is just play.Exceptions are several academicians to collect audiologists and ""kill something while it does something there.""But there are few of them, so there was no need to be distracted from the zarub.

Well, after this, I want to briefly summarize my expirence.


The first thing that catches the eye when starting the game is the picture.In particular - qualitatively worked out backs and environment.Technologically, the game does not offer something supernatural.What can not be said about magnificent architecture and interiors, about brutal battles occurring against the background and about close attention to details.The artists tried perfectly, because all this sets the necessary mood.


Namely, the mood for the ongoing action, where a spectacular slasher with a simple combo system and a good third-person shooter, makes a SM2 combat system in some way, are made in equal proportions.









Levels in PVE and in the campaign cannot boast of complexity and branching.However, this never had great importance to me in the games of this genre.The most important thing is that LVV-design play the hands of the main systems and does not interfere with the game to be a fan.So it works in SM2.The maximum where you can turn from the main road is for audio loses, but for a couple of ammunition boxes and temporary improvements for armor.Otherwise, the game does not interfere with the most important - endless meat grinder.And this is great.


For my happiness, I went through the game in a duo-coope.And this game works perfectly in this mode.The bots in the game are incredibly stupid and all that they are capable of is to raise a fallen Timmate.And then not always.From the point of view of their combat effectiveness and benefit in the implementation of joint tasks, everything is bad here.So my advice is to you-play with at least one friend, and ideally in a full-style.

Incredibly primitive, laughter, pathos and if you are not a fan of the universe, then this will probably be the weakest aspect for you.However, to say that he was completely failed - I also can’t: the game is trying to intrigue, the development of characters and even try to surprise with Cliffhanger, who will be understandable only to those who played in the first part.In general, the plot here is a pure function, which is a justification for an ongoing meat grinder.

Separately, I want to highlight the solution of developers to make a narrative to tie the main plot and PVE operation.While Titus is dealing with the most important things, somewhere in the background other guys decide something secondary, which helps the main team.It turns out an interesting interweaving.At the same time, no one forbids to go through the PVE mission, and then the plot.To some extent, this may even affect the perception of the main story.",2024/11/28,ru
LukeleyDuke,1,103.9,https://steamcommunity.com/id/lukeleduke/,"Bruh. This game is one of the Greatest to have come out in 2024, if they had the marketing budget of blackops, is would blow it out of the water. The thing is, it's not even a first person shooter, but it puts all the new COD garbage to shame. Buy it now.

PURGE THE HERETIC
BURN THE UNCLEAN
CULL THE XENOS",2024/11/23,en
Templestoner,1,78.7,https://steamcommunity.com/id/Templestoner/,"Few are in the know, but Friren from the notorious anime, pronouncing the very phrase “you can give such a thing to men and they will be delighted”, meant precisely the copy of “Warhammer 40000: Space Marine 2”.And only then the creators decided to drink some potion to the said.

This game is an excellent story, as a group of fighters in the 2nd group of the 3rd group with PTSD, suspicious paranoid with carefully hidden high self -esteem, and experienced warriors with developed immunity to mental influences overcome mutual misunderstanding in personal communication, the consequences of short -sighted decisions of the command and difficulties of the combatSlave against the backdrop of an ongoing massacre and chaos in various combat conditions.And they will succeed.)",2024/12/2,ru
EMOJI QUEEN,1,101.5,https://steamcommunity.com/profiles/76561198350008392/,"I still give it many nominations.Although the balance of the game and the server should be chaotic in the production team, in the context of the frequent emergence of the abstract Mo Ren today, this pure plasma splashing, clear love and hate, and the martyr's sudden works are all all kinds of works.TMD can be regarded as a clear stream.",2024/11/28,zh-cn
Morningstar,1,8.5,https://steamcommunity.com/profiles/76561198116794381/,"GOTY

YouTube™ Video: GosT - ""Behemoth (Perturbator remix)"" [Official - 2015]",2024/11/14,en
Michael,1,10.4,https://steamcommunity.com/profiles/76561198134146269/,"Product Received for Free

Introduction

Captain Titus, as a punishment for the ""death guard"", returns to regular service.You slip into the role of Lieutenant Titus, the empire needs you, the tyrannies and a much more powerful enemy threaten humanity.You fight yourself through true hordes of opponents and also have to justify yourself for your past.

Gameplay

Warhammer 40k Space Marine 2 divides into three areas.As a loyal soldier of the empire, of course, you first face the unfortunately too short story.In individual missions you can improve your class and equipment.The classic PvP mode then throws you in the fight for the title of the deadliest Space Marine.

I don't want to tell anything about the story itself.I definitely want to write two things.The story is told in action -packed scenes and in German.Unfortunately, unfortunately, she is told far too quickly.In general, graphics and sound leave a very good impression in the game.

In story mode you fight in a three man squad against true opponents.The NPC Marines do a good job, they know the way, but you can't really get lost, and lead one or two revival if Titus jumped into a group of opponents too quickly.The NPC Marines can also be replaced or configured by real players.The weapons can be adapted before each mission, but there are enough weapons and ammunition between the entire corpse.There is a change here and there, but you can tell that.

In addition to the story mode, individual missions can be played.Here you can choose from different classes and then equip them with suitable weapons.However, no NPCs are intended here, you need human comrades for fighting.If you start a mission alone, the game assigns you human team members and the slaughter can begin.

The PvP mode is exactly what it sounds.As the real soldier of the imperator, however, I do not fight against my own comrades!


Unfortunately I have to open a very dark chapter here.At times I was so far to write a negative review and not recommended Warhammer 40k Space Marine 2.Anyone who has read so far knows that the story is very important to me, just stupid that game has crashed in almost every sequence.So the game had to be restarted and played again to this point in order to be able to skip the sequence that was then re -established.

The fact that the lumbar churse and even the metal lock on the arm of Titus in the elevator, which is very, very slowly moved, is thrown upwards is of course only a little thing against the crashes.But I thought it was funny, so I didn't want to leave it unmentioned.



Top story told
Endless
Many different weapons
good German voice output
great graphic


Regular crashes of the intermediate sequences
Much too short story






A well told story with very good graphics and a top sound including a coherent German voice output.The battle around the universe cannot be managed better.But stop!Of course, it would be even better without the crashes.I tested the game on two computers and with several graphics cards, unfortunately without success.I still recommend the game and will write here whether the problem is fixed.",2024/11/18,de
Hodie,1,12.2,https://steamcommunity.com/id/Hodie/,"My teenage son loves it, but I advise him not to tell his mother about it.",2024/11/29,en
point & click,1,86.8,https://steamcommunity.com/id/clicksclicks/,"Slaughtering 41,000 enemies was glorious. Magazine out, magazine in. Wonderful campaign and Operations are a nice continuation. My only complaint is with Operations. If you're playing with a bot and all humans go down, the game ends. I wish we could see if the bot manages to stay alive while our countdown runs out and then we can get back into the game. Exploiting the Bulwark HP regen was awesome while it lasted. Leveling weapons and classes was super easy, and always being able to find randoms for any mission you want to play was nice too. I've been playing since pre-release and haven't had any issues with any of the updates. Ready your Bolters. Lictor these nuts.",2024/11/20,en
Carnival.Corpse,1,124.5,https://steamcommunity.com/id/carnival_corpse/,"The Emperor has provided us with everything we wanted, brothers. Enjoyable story campaign with great visuals, even better PVE operations & fun PVP - very rarely you'll get to experience the whole package in a single game in today's time. And it's executed quite brilliantly as well.

I just wish they could make the gameplay of the campaign as varied & customizable as the Operations mode. Ops are just thousands times more fun. They had the system implemented already, but didn't do it for the campaign. At least, community mods have this covered. And glad to see the devs supporting mods officially as well.

Also, we need FOV slider badly. Ultrawide 21:9 support is at least serviceable, but 32:9 support is a complete whack.",2024/11/30,en
Бальмунг,1,48.9,https://steamcommunity.com/id/Dm_Balion/,"Great action-player and one of the best games in Wahe 40K since the time of Dawn of War.Epico, beautiful, juicy fighting and sound.Attention to details and surrounding species - my respect and merciless operation of the Screenshot button)
A separate buzz gives the opportunity to use adaptive triggers on a PC-the bolter rummages in his hands, and the sword makes wig-yzh!
For the emperor, brothers!",2024/11/30,ru
