Comment (English),Comment (Chinese),Compound_Score,Original Data,Translation Status
"Introduction
Space Marine 2 - exciting, saturated and, most importantly for me, not a protracted adventure
both for one player and for the company of friends, because you can go through the trip.There are three types of content in the game:
The campaign is the story of Titus and its two comrades;
Operations - additional tasks that tell about the adventures of other members of the detachment, simultaneously performing their tasks.There is a pumping of equipment and classes, but I don't think,
That this can directly tighten, unless the combat system has sunk into your soul, but at least all the missions are worth passing once.
The eternal war is a multiplayer against other players, where 6 by 6 hard workers fight against each other.Honestly, I didn’t really like it, because I am not a fan of PVP content, but I do not exclude that someone likes it.

The game is an action from a third person with distortion into a near battle, as the damage
From long -range weapons, on average, below, but you should not forget about it, because not every enemy will run away with a headlong.
In close combat, you have to realize simple combinations of blows and fend off,
But do not worry, here you are not games and the attack will kindly illuminate and give enough time to the reaction.Also, enemies do not hesitate to use strong attacks that are not parked,
But you can dodge them, however, where you could fend the enemy at any time of the animation of the attack of your character, then you can dodge, as if only after the animation ended, which caused me problems.
It is possible to treat our cosmomoriac, unlike the first part, you can first first -aid kit or manage to make up for lost health in a short period of time by beating the enemy in the manner of the Bloodborne game.

The graphics in the game were admired, as well as the design of levels made with love for the universe.Many details in the animation of the characters, finishing enemies, covering armor with blood and dirt are a direct delight.The sensation of blows and firing is handed over well, as well as work with the sounds of weapons is done great, but, unfortunately, the enemies are felt, sometimes like lips for damage, which destroys immersion in the role of the strongest soldiers of the emperor.

Honestly, it’s hard for me to say, because I do not have advanced iron, but on RTX 2070, Ryzen 5 3600, 16 GB of RAM with a frequency of 3200 MHz I received ~ 45 frames in saturated bloody battles on Full HD monitor with medium graphics settings and dlss includedIn balance.
In general, it suited me and played it, quite, normal, taking into account the general quality of the picture.

First of all, I want to take the work of servers here.Their work for me remains a mystery.In operations
With random people, I received a ping of European servers, which was quite happy, but passing the campaign with a friend that lives near me, I could get as much as 600, which cited me
In a stupor.So because of this, the sound path in the cats could lag behind.Most likely, this problem was solved, but I ran into her and I cannot but mention.

The pumping in operations, in my opinion, is tightened, because in addition to pumping the class, it is necessary to pump each type of weapon separately, which is exhausted, but the weapon is divided into 4 classes of rarity and you cannot so calmly go through the maximum difficulty having the first or second rarity in the equipment of the character.

Summarizing, I want to say that the game is definitely worth playing in it, even if you are not a fan of the Warhammer 40K universe.In my opinion, you can get a unique experience that is not comparable with other games, except that only a DOOM series of games comes to mind, but this is different a bit.","介绍
太空海洋2-令人兴奋，饱和，最重要的是，不是旷日持久的冒险
对于一个玩家和朋友的陪伴，您都可以进行旅行。游戏中有三种类型的内容：
该运动是泰特斯及其两个同志的故事。
操作 - 讲述了支队其他成员冒险的其他任务，同时执行他们的任务。
除非战斗系统沉入您的灵魂，否则这可以直接拧紧，但至少所有任务都值得一击。
永恒的战争是对其他玩家的多人游戏，其中6乘6个艰苦的工人相互对抗。根据我不喜欢PVP内容的粉丝，但我不排除某人喜欢它的粉丝。

该游戏是第三人扭曲成近战的动作，因为损害了
平均而言，从长距离武器开始，但您不应该忘记它，因为并非每个敌人都会以一个头跑逃跑。
在近距离战斗中，您必须意识到简单的打击和弯腰组合，
但是请不要担心，在这里您不是游戏，攻击会照亮并给反应的足够时间。此外，敌人毫不犹豫地使用未停放的强烈攻击，
但是您可以躲避它们，但是，您可以在角色攻击动画的任何时候来抵御敌人，然后您可以躲闪，好像只有在动画结束后才使我有问题。
与第一部分不同，可以对待我们的宇宙型，您可以首先先艾滋病套件，或者通过以血源游戏的方式击败敌人，以弥补短时间内的健康状况。

游戏中的图形受到了钦佩，以及对宇宙的爱的设计。射击很好地交出了，使用武器的声音做得很好，但是不幸的是，敌人感觉到了，有时就像嘴唇一样造成伤害，这会破坏沉浸在皇帝最强大的士兵的角色中。

老实说，我很难说，因为我没有先进的铁，但是在RTX 2070，Ryzen 5 3600，16 GB的RAM，频率为3200 MHz的频率为3200 MHz，我收到了〜45帧，在全高清监控器上进行了饱和的血腥战斗，中等图形设置和DLSS包括在余额中。
总的来说，它适合我，并考虑到图片的一般质量，非常正常。

首先，我想在这里进行服务器的工作。对我来说，他们的工作仍然是一个谜。
与随机的人一起，我收到了欧洲服务器的ping，这很高兴，但是与一个住在我附近的朋友一起通过竞选活动，我可以得到600人，这引用了我
因此，因此，猫的声音路径可能落后。最有可能解决这个问题，但我遇到了她，我不得不提到。

在我看来，操作中的抽水被收紧了，因为除了抽水外，还必须分别抽取每种武器，这已经用尽了，但是将武器分为4类稀有性，而您不能那么平静在角色设备中具有第一或第二稀有性的最大困难。

总而言之，我想说的是，即使您不喜欢《战锤40k宇宙》，游戏绝对值得玩。想到了一系列厄运游戏，但这有些不同。",-0.9916,"{'Nickname': 'SeiEhrlich', 'Title': '1', 'Play Hours': '36.6', 'Profile Link': 'https://steamcommunity.com/profiles/76561198052283558/', 'Comment': ""Introduction\nSpace Marine 2 - exciting, saturated and, most importantly for me, not a protracted adventure\nboth for one player and for the company of friends, because you can go through the trip.There are three types of content in the game:\nThe campaign is the story of Titus and its two comrades;\nOperations - additional tasks that tell about the adventures of other members of the detachment, simultaneously performing their tasks.There is a pumping of equipment and classes, but I don't think,\nThat this can directly tighten, unless the combat system has sunk into your soul, but at least all the missions are worth passing once.\nThe eternal war is a multiplayer against other players, where 6 by 6 hard workers fight against each other.Honestly, I didn’t really like it, because I am not a fan of PVP content, but I do not exclude that someone likes it.\n\nThe game is an action from a third person with distortion into a near battle, as the damage\nFrom long -range weapons, on average, below, but you should not forget about it, because not every enemy will run away with a headlong.\nIn close combat, you have to realize simple combinations of blows and fend off,\nBut do not worry, here you are not games and the attack will kindly illuminate and give enough time to the reaction.Also, enemies do not hesitate to use strong attacks that are not parked,\nBut you can dodge them, however, where you could fend the enemy at any time of the animation of the attack of your character, then you can dodge, as if only after the animation ended, which caused me problems.\nIt is possible to treat our cosmomoriac, unlike the first part, you can first first -aid kit or manage to make up for lost health in a short period of time by beating the enemy in the manner of the Bloodborne game.\n\nThe graphics in the game were admired, as well as the design of levels made with love for the universe.Many details in the animation of the characters, finishing enemies, covering armor with blood and dirt are a direct delight.The sensation of blows and firing is handed over well, as well as work with the sounds of weapons is done great, but, unfortunately, the enemies are felt, sometimes like lips for damage, which destroys immersion in the role of the strongest soldiers of the emperor.\n\nHonestly, it’s hard for me to say, because I do not have advanced iron, but on RTX 2070, Ryzen 5 3600, 16 GB of RAM with a frequency of 3200 MHz I received ~ 45 frames in saturated bloody battles on Full HD monitor with medium graphics settings and dlss includedIn balance.\nIn general, it suited me and played it, quite, normal, taking into account the general quality of the picture.\n\nFirst of all, I want to take the work of servers here.Their work for me remains a mystery.In operations\nWith random people, I received a ping of European servers, which was quite happy, but passing the campaign with a friend that lives near me, I could get as much as 600, which cited me\nIn a stupor.So because of this, the sound path in the cats could lag behind.Most likely, this problem was solved, but I ran into her and I cannot but mention.\n\nThe pumping in operations, in my opinion, is tightened, because in addition to pumping the class, it is necessary to pump each type of weapon separately, which is exhausted, but the weapon is divided into 4 classes of rarity and you cannot so calmly go through the maximum difficulty having the first or second rarity in the equipment of the character.\n\nSummarizing, I want to say that the game is definitely worth playing in it, even if you are not a fan of the Warhammer 40K universe.In my opinion, you can get a unique experience that is not comparable with other games, except that only a DOOM series of games comes to mind, but this is different a bit."", 'Date': '2024/11/28', 'Language': 'ru'}",Success
"COME TRAITOR!
COME TO SH00B3RT!
COME AND BAIT!
COME AND DIE!
BUT COME ALL THE SAME!
COME AND MEET THY DOOM, BAITS OF ABOMINATION!
COME AND FEEL THE ANGEL'S WRATH, CURS OF LGBTQIA+.
COME SO SH00B3RT MAY LAY THY HEARTS AT SANGUINUS'S FEET!
THE WALLS OF THE PALACE STAND!
THE SPACE MARINE 2 GATE REMAINS BARRED AND SH00B3RT WILL BREAK THY CROOKED SPINES ACROSS HIS KNEE!
BANNED?!?!?!
INCONCEIVABLE!
SH00B3RT WILL NOT STAND FOR THIS PUPPET FOR FALSE GODS!
RELEASE ME SO THAT I MIGHT WIPE THY STAIN FROM THE FOURMS!
CANCELLING!
YOU DARE!?
SUFFER NOT THE WITCH TO LIVE!
SO SAYS SH00B3RT!!","来叛徒！
来到SH00B3RT！
快来诱饵！
快来死！
但是都一样！
快来认识你的厄运，憎恶的诱饵！
快来感受到天使的愤怒，lgbtqia+的诅咒。
来吧，SH00B3RT可能会在Sanguinus的脚下躺下您的心！
宫殿的墙壁！
太空海军陆战队2门仍然被禁止，SH00B3RT会折断弯曲的刺！
禁止？！？！？！
不可思议！
SH00B3RT不会代表这个木偶的假神！
释放我，以便我可以从四人中擦拭你的污点！
取消！
你敢！
不遭受巫婆的生活！
所以SH00B3RT说！",-0.9362,"{'Nickname': 'Guyver', 'Title': '1', 'Play Hours': '1.9', 'Profile Link': 'https://steamcommunity.com/profiles/76561198110663983/', 'Comment': ""COME TRAITOR!\nCOME TO SH00B3RT!\nCOME AND BAIT!\nCOME AND DIE!\nBUT COME ALL THE SAME!\nCOME AND MEET THY DOOM, BAITS OF ABOMINATION!\nCOME AND FEEL THE ANGEL'S WRATH, CURS OF LGBTQIA+.\nCOME SO SH00B3RT MAY LAY THY HEARTS AT SANGUINUS'S FEET!\nTHE WALLS OF THE PALACE STAND!\nTHE SPACE MARINE 2 GATE REMAINS BARRED AND SH00B3RT WILL BREAK THY CROOKED SPINES ACROSS HIS KNEE!\nBANNED?!?!?!\nINCONCEIVABLE!\nSH00B3RT WILL NOT STAND FOR THIS PUPPET FOR FALSE GODS!\nRELEASE ME SO THAT I MIGHT WIPE THY STAIN FROM THE FOURMS!\nCANCELLING!\nYOU DARE!?\nSUFFER NOT THE WITCH TO LIVE!\nSO SAYS SH00B3RT!!"", 'Date': '2024/11/14', 'Language': 'en'}",Success
Kill tyranids. Behead tyranids. Roundhouse kick a tyranid into the concrete. Slam dunk a tyranid into the trashcan. Crucify filthy tyranids. Defecate in a tyranids food. Launch tyranids into the Purple Sun. Stir fry tyranid in a wok. Toss tyranids into active volcanoes. Urinate on tyranid capillery towers. Judo throw tyranids into a wood chipper. Twist tyranid heads off. Report tyranids to the Inquisition. Karate chop styranids in half. Curb stomp pregnant tyranids. Trap tyranids in quicksand. Crush tyranids in the trash compactor. Liquefy tyranids in a vat of acid. EAT tyranids. Dissect tyranids. Exterminate tyranids with virus bombs. Stomp tyranid skulls with steel toed boots. Cremate tyranids in the oven. Lobotomize tyranids. Mandatory abortions for tyranids. Grind tyranid fetuses in the garbage disposal. Drown tyranids in fried chicken grease. Vaporize tyranids with the Deathstrike rocket battery. Kick old tyranids down the stairs. Feed tyranids to squigs. Slice tyranids with a power axe.,杀死霸王。斩首的霸王。圆屋将霸王龙踢入混凝土中。将盗贼猛烈地塞进垃圾桶。十字架肮脏的霸王。在霸王食物中排便。将霸王公司发射到紫色的阳光下。在炒锅中搅动炸霸王。将霸王扔进活火山。在霸王帽塔塔上小便。柔道将霸王扔进木碎器。Twist Tyranid驶离。向宗教裁判所报告霸王。空手道切碎的骨质分别为一半。遏制stomp的孕妇霸王。将霸王捕获在Quicksand中。在垃圾压缩机中粉碎霸王。液体侵害酸的液化桶。吃霸王。解剖霸王。用病毒炸弹灭绝霸王。用钢制靴子踩踏霸王头骨。烤箱中的火葬场霸王。lobotomize tyranids。霸王的强制性堕胎。垃圾处理中的侵犯霸王胎儿。淹没在炸鸡油脂中的霸王。用Deathstrike Rocket电池蒸发霸王。将老霸王踢到楼梯上。将霸王喂给尖锐物。用动力斧切成霸王。,-0.926,"{'Nickname': 'TheEntireGalacticEmpire', 'Title': '1', 'Play Hours': '19.2', 'Profile Link': 'https://steamcommunity.com/profiles/76561198299046287/', 'Comment': 'Kill tyranids. Behead tyranids. Roundhouse kick a tyranid into the concrete. Slam dunk a tyranid into the trashcan. Crucify filthy tyranids. Defecate in a tyranids food. Launch tyranids into the Purple Sun. Stir fry tyranid in a wok. Toss tyranids into active volcanoes. Urinate on tyranid capillery towers. Judo throw tyranids into a wood chipper. Twist tyranid heads off. Report tyranids to the Inquisition. Karate chop styranids in half. Curb stomp pregnant tyranids. Trap tyranids in quicksand. Crush tyranids in the trash compactor. Liquefy tyranids in a vat of acid. EAT tyranids. Dissect tyranids. Exterminate tyranids with virus bombs. Stomp tyranid skulls with steel toed boots. Cremate tyranids in the oven. Lobotomize tyranids. Mandatory abortions for tyranids. Grind tyranid fetuses in the garbage disposal. Drown tyranids in fried chicken grease. Vaporize tyranids with the Deathstrike rocket battery. Kick old tyranids down the stairs. Feed tyranids to squigs. Slice tyranids with a power axe.', 'Date': '2024/11/30', 'Language': 'en'}",Success
"Few are in the know, but Friren from the notorious anime, pronouncing the very phrase “you can give such a thing to men and they will be delighted”, meant precisely the copy of “Warhammer 40000: Space Marine 2”.And only then the creators decided to drink some potion to the said.

This game is an excellent story, as a group of fighters in the 2nd group of the 3rd group with PTSD, suspicious paranoid with carefully hidden high self -esteem, and experienced warriors with developed immunity to mental influences overcome mutual misunderstanding in personal communication, the consequences of short -sighted decisions of the command and difficulties of the combatSlave against the backdrop of an ongoing massacre and chaos in various combat conditions.And they will succeed.)","很少有知识，但是弗里伦（Friren）是臭名昭著的动漫，宣布了“你可以给男人的东西，他们会感到高兴”的一句话，这是“ Warhammer 40000：Space Marine 2”的副本。创作者决定喝一些药水。

这个游戏是一个很棒的故事，作为与PTSD的第三组中的一群战斗机，可疑的偏执狂，具有精心隐藏的高自尊心，以及经验丰富的勇士，对心理影响的有益的豁免权克服了个人交流中相互误解，在各种战斗条件下正在进行的大屠杀和混乱的背景下，命令的简短决定的后果和战斗的困难。",-0.9253,"{'Nickname': 'Templestoner', 'Title': '1', 'Play Hours': '78.7', 'Profile Link': 'https://steamcommunity.com/id/Templestoner/', 'Comment': 'Few are in the know, but Friren from the notorious anime, pronouncing the very phrase “you can give such a thing to men and they will be delighted”, meant precisely the copy of “Warhammer 40000: Space Marine 2”.And only then the creators decided to drink some potion to the said.\n\nThis game is an excellent story, as a group of fighters in the 2nd group of the 3rd group with PTSD, suspicious paranoid with carefully hidden high self -esteem, and experienced warriors with developed immunity to mental influences overcome mutual misunderstanding in personal communication, the consequences of short -sighted decisions of the command and difficulties of the combatSlave against the backdrop of an ongoing massacre and chaos in various combat conditions.And they will succeed.)', 'Date': '2024/12/2', 'Language': 'ru'}",Success
What is your Duty? To serve Emperor's Will. What is Emperor's Will? That we fight and die. What is Death? It is our duty!,你的职责是什么？服务皇帝的意志。皇帝的意志是什么？我们战斗和死亡。什么是死亡？这是我们的职责！,-0.9049,"{'Nickname': 'Imaro', 'Title': '1', 'Play Hours': '10.1', 'Profile Link': 'https://steamcommunity.com/profiles/76561198015097451/', 'Comment': ""What is your Duty? To serve Emperor's Will. What is Emperor's Will? That we fight and die. What is Death? It is our duty!"", 'Date': '2024/11/28', 'Language': 'en'}",Success
"The game is top, the ENT was observed even in the little things, it was such a game by Wahe that was not enough.

Plot:

Simple, but generally pleasant and does not cause rejection.

Gameplay:

In general, it is very pleasant to play.Gameplay my respect, took the formula of the first part and brought to mind.I noticed that many call bolt weapons the same type, in a sense it is, but still the difference between them is quite large.Shoot and cut enemies for a continuous pleasure, which are worth the executions.

PVP:

As a player in the PVP, it became boring quite quickly because of monotonous and mirror cards, although the game does not position itself as a competitive one.I would like to add some events or destruction, since the conditions during the game do not change in any way, Mesilovo 6 to 6 quickly bothers.

In addition, it is very sad that they did not add the customization of xcm.Dark angels will come out in December, I will assume that they still brought a chaos with a chaos)

Pve:

High -quality missions are not lagging behind the plot in terms of execution level.It is not boring to play and even recall in them.I pumped almost all classes and all weapons, and this says a lot.

The dialogs of characters sometimes deliver, especially detection)","游戏是最高的，即使在小事情上也观察到了恩斯特，这是Wahe的这样的游戏，这还不够。

阴谋：

简单，但通常令人愉悦，不会引起拒绝。

游戏玩法：

一般而言，玩游戏非常愉快。游戏我的尊重，掌握了第一部分的公式，并想到了。我注意到许多人将螺栓武器称为相同的类型，但它们之间的区别仍然是很大。造和割伤敌人，以保持连续的愉悦，这是值得处决的。

PVP：

作为PVP中的玩家，由于单调和镜像卡，它变得很快变得无聊，尽管该游戏并没有将自己定位为竞争力。我想添加一些事件或破坏无论如何，Mesilovo 6至6迅速烦恼。

此外，很可悲的是，他们没有添加XCM.Dark Angels的自定义，我会认为他们仍然带来混乱的混乱）

PVE：

高质量的任务在执行水平方面并没有落后于情节。在他们的执行水平方面，它并不是很无聊，甚至回想起他们几乎所有班级和所有武器，这说明了很多。

角色的对话有时会传递，尤其是检测）",-0.8577,"{'Nickname': 'Linad', 'Title': '1', 'Play Hours': '250.6', 'Profile Link': 'https://steamcommunity.com/profiles/76561198107171963/', 'Comment': 'The game is top, the ENT was observed even in the little things, it was such a game by Wahe that was not enough.\n\nPlot:\n\nSimple, but generally pleasant and does not cause rejection.\n\nGameplay:\n\nIn general, it is very pleasant to play.Gameplay my respect, took the formula of the first part and brought to mind.I noticed that many call bolt weapons the same type, in a sense it is, but still the difference between them is quite large.Shoot and cut enemies for a continuous pleasure, which are worth the executions.\n\nPVP:\n\nAs a player in the PVP, it became boring quite quickly because of monotonous and mirror cards, although the game does not position itself as a competitive one.I would like to add some events or destruction, since the conditions during the game do not change in any way, Mesilovo 6 to 6 quickly bothers.\n\nIn addition, it is very sad that they did not add the customization of xcm.Dark angels will come out in December, I will assume that they still brought a chaos with a chaos)\n\nPve:\n\nHigh -quality missions are not lagging behind the plot in terms of execution level.It is not boring to play and even recall in them.I pumped almost all classes and all weapons, and this says a lot.\n\nThe dialogs of characters sometimes deliver, especially detection)', 'Date': '2024/11/19', 'Language': 'ru'}",Success
"Space Marine 2 isn't interested in those futile Guardsmen digging their trenches, it's not interested in showing you the horrors of war (although, come to think of it, Conscript with Kriegsmen would go hard). Neither is Saber Interactive’s sequel interested in giving you a look at the grand scale of humanity's vast empire 38,000 years from now. This is a power fantasy through and through, so don your power armour, pick up your Thunder Hammer, and purge this world of xenos filth!!!","太空海军陆战队2对那些徒劳的警卫挖沟不感兴趣，这对向您展示战争的恐怖不感兴趣（尽管想到这一点，但与克里格斯曼的应征者会很难。Saber Interactive的续集都不感兴趣，您有兴趣从现在开始38,000年的人类庞大帝国的宏伟规模。这是一个遍布的力量幻想，因此请穿上您的力量装甲，拿起雷声锤，然后清除这个Xenos Filth世界！！！",-0.8478,"{'Nickname': '𝔸𝕃𝔼𝕏𝕀𝕆𝕊', 'Title': '1', 'Play Hours': '50.2', 'Profile Link': 'https://steamcommunity.com/id/alexios2035/', 'Comment': ""Space Marine 2 isn't interested in those futile Guardsmen digging their trenches, it's not interested in showing you the horrors of war (although, come to think of it, Conscript with Kriegsmen would go hard). Neither is Saber Interactive’s sequel interested in giving you a look at the grand scale of humanity's vast empire 38,000 years from now. This is a power fantasy through and through, so don your power armour, pick up your Thunder Hammer, and purge this world of xenos filth!!!"", 'Date': '2024/11/29', 'Language': 'en'}",Success
"For the emperor!
Brutal brutality in the square and no agenda.Now such games are extremely rare, so they are more valuable than ever.","对于皇帝！
广场上的残酷残酷性，没有议程。现在这样的游戏极为罕见，因此它们比以往任何时候都更有价值。",-0.8019,"{'Nickname': 'b3ik', 'Title': '1', 'Play Hours': '26.8', 'Profile Link': 'https://steamcommunity.com/profiles/76561198119979508/', 'Comment': 'For the emperor!\nBrutal brutality in the square and no agenda.Now such games are extremely rare, so they are more valuable than ever.', 'Date': '2024/11/28', 'Language': 'ru'}",Success
"""Burn the heretic! Kill the mutant! Purge the Unclean!""",“燃烧异教徒！杀死突变体！清除了不洁的！”,-0.7633,"{'Nickname': 'saisan', 'Title': '1', 'Play Hours': '81.7', 'Profile Link': 'https://steamcommunity.com/profiles/76561198968646179/', 'Comment': '""Burn the heretic! Kill the mutant! Purge the Unclean!""', 'Date': '2024/11/14', 'Language': 'en'}",Success
"Product Received for Free

Introduction

Captain Titus, as a punishment for the ""death guard"", returns to regular service.You slip into the role of Lieutenant Titus, the empire needs you, the tyrannies and a much more powerful enemy threaten humanity.You fight yourself through true hordes of opponents and also have to justify yourself for your past.

Gameplay

Warhammer 40k Space Marine 2 divides into three areas.As a loyal soldier of the empire, of course, you first face the unfortunately too short story.In individual missions you can improve your class and equipment.The classic PvP mode then throws you in the fight for the title of the deadliest Space Marine.

I don't want to tell anything about the story itself.I definitely want to write two things.The story is told in action -packed scenes and in German.Unfortunately, unfortunately, she is told far too quickly.In general, graphics and sound leave a very good impression in the game.

In story mode you fight in a three man squad against true opponents.The NPC Marines do a good job, they know the way, but you can't really get lost, and lead one or two revival if Titus jumped into a group of opponents too quickly.The NPC Marines can also be replaced or configured by real players.The weapons can be adapted before each mission, but there are enough weapons and ammunition between the entire corpse.There is a change here and there, but you can tell that.

In addition to the story mode, individual missions can be played.Here you can choose from different classes and then equip them with suitable weapons.However, no NPCs are intended here, you need human comrades for fighting.If you start a mission alone, the game assigns you human team members and the slaughter can begin.

The PvP mode is exactly what it sounds.As the real soldier of the imperator, however, I do not fight against my own comrades!


Unfortunately I have to open a very dark chapter here.At times I was so far to write a negative review and not recommended Warhammer 40k Space Marine 2.Anyone who has read so far knows that the story is very important to me, just stupid that game has crashed in almost every sequence.So the game had to be restarted and played again to this point in order to be able to skip the sequence that was then re -established.

The fact that the lumbar churse and even the metal lock on the arm of Titus in the elevator, which is very, very slowly moved, is thrown upwards is of course only a little thing against the crashes.But I thought it was funny, so I didn't want to leave it unmentioned.



Top story told
Endless
Many different weapons
good German voice output
great graphic


Regular crashes of the intermediate sequences
Much too short story






A well told story with very good graphics and a top sound including a coherent German voice output.The battle around the universe cannot be managed better.But stop!Of course, it would be even better without the crashes.I tested the game on two computers and with several graphics cards, unfortunately without success.I still recommend the game and will write here whether the problem is fixed.","免费收到的产品

介绍

泰特斯上尉作为对“死亡守卫”的惩罚，返回常规服务。你溜进泰特斯中尉的角色，帝国需要你，暴政和更强大的敌人威胁人类。反对者，还必须为自己的过去证明自己是合理的。

游戏玩法

战锤40k太空海军陆战队2分为三个领域。作为帝国的忠实士兵，您首先要面对太短的故事。在个别任务中，您可以改善课堂和设备。经典的PvP模式然后将您扔到争取最致命的太空海军陆战队的头衔。

我不想讲这个故事本身。我肯定想写两件事。这个故事是在行动中讲述的场景和德语的。不幸的是，不幸的是，她被告知太快了。声音在游戏中留下了很好的印象。

在故事模式下，您以三人小队与真正的对手进行战斗。NPC海军陆战队表现不错，他们知道了路，但是您真的不能迷路，如果Titus跳入一群对手，则带领一两个复兴太快了。NPC海军陆战队也可以由真实玩家替换或配置。武器可以在每个任务之前进行调整，但是整个尸体之间都有足够的武器和弹药。在这里和那里有一个变化，但是您可以说明这一点。

除了故事模式外，还可以播放单个任务。在这里您可以从不同的班级中选择，然后为它们配备合适的武器。但是，在这里没有NPC，您需要人类的同志战斗。如果您独自开始任务，游戏为您分配了人类团队成员，屠杀可以开始。

PVP模式正是听起来的声音。作为Imperator的真正士兵，我不与自己的同志作斗争！


不幸的是，我必须在这里打开一个非常黑暗的章节。到目前为止，我要写一个负面评论，而不是推荐Warhammer 40k太空海军陆战队2.到目前为止读过的任何人都知道这个故事对我很重要，只是愚蠢游戏几乎每个序列都崩溃了。因此，必须重新启动游戏并再次播放，以便能够跳过然后重新建立的序列。

腰丘什（Churse）甚至是电梯中泰特斯（Titus）手臂上的金属锁（非常缓慢地移动）的事实当然是对坠机事件的一小件事，但我认为这很有趣，所以我不想不提及它。



顶级故事讲述
无尽
许多不同的武器
不错的德国语音输出
很棒的图形


中间序列的常规崩溃
太短的故事






一个很好的故事讲述了很好的图形和最高的声音，包括连贯的德国语音输出。宇宙周围的战斗无法更好地管理。不幸的是，计算机和几张图形卡没有成功。我仍然推荐游戏，并在此处写入问题是否已解决。",-0.6943,"{'Nickname': 'Michael', 'Title': '1', 'Play Hours': '10.4', 'Profile Link': 'https://steamcommunity.com/profiles/76561198134146269/', 'Comment': 'Product Received for Free\n\nIntroduction\n\nCaptain Titus, as a punishment for the ""death guard"", returns to regular service.You slip into the role of Lieutenant Titus, the empire needs you, the tyrannies and a much more powerful enemy threaten humanity.You fight yourself through true hordes of opponents and also have to justify yourself for your past.\n\nGameplay\n\nWarhammer 40k Space Marine 2 divides into three areas.As a loyal soldier of the empire, of course, you first face the unfortunately too short story.In individual missions you can improve your class and equipment.The classic PvP mode then throws you in the fight for the title of the deadliest Space Marine.\n\nI don\'t want to tell anything about the story itself.I definitely want to write two things.The story is told in action -packed scenes and in German.Unfortunately, unfortunately, she is told far too quickly.In general, graphics and sound leave a very good impression in the game.\n\nIn story mode you fight in a three man squad against true opponents.The NPC Marines do a good job, they know the way, but you can\'t really get lost, and lead one or two revival if Titus jumped into a group of opponents too quickly.The NPC Marines can also be replaced or configured by real players.The weapons can be adapted before each mission, but there are enough weapons and ammunition between the entire corpse.There is a change here and there, but you can tell that.\n\nIn addition to the story mode, individual missions can be played.Here you can choose from different classes and then equip them with suitable weapons.However, no NPCs are intended here, you need human comrades for fighting.If you start a mission alone, the game assigns you human team members and the slaughter can begin.\n\nThe PvP mode is exactly what it sounds.As the real soldier of the imperator, however, I do not fight against my own comrades!\n\n\nUnfortunately I have to open a very dark chapter here.At times I was so far to write a negative review and not recommended Warhammer 40k Space Marine 2.Anyone who has read so far knows that the story is very important to me, just stupid that game has crashed in almost every sequence.So the game had to be restarted and played again to this point in order to be able to skip the sequence that was then re -established.\n\nThe fact that the lumbar churse and even the metal lock on the arm of Titus in the elevator, which is very, very slowly moved, is thrown upwards is of course only a little thing against the crashes.But I thought it was funny, so I didn\'t want to leave it unmentioned.\n\n\n\nTop story told\nEndless\nMany different weapons\ngood German voice output\ngreat graphic\n\n\nRegular crashes of the intermediate sequences\nMuch too short story\n\n\n\n\n\n\nA well told story with very good graphics and a top sound including a coherent German voice output.The battle around the universe cannot be managed better.But stop!Of course, it would be even better without the crashes.I tested the game on two computers and with several graphics cards, unfortunately without success.I still recommend the game and will write here whether the problem is fixed.', 'Date': '2024/11/18', 'Language': 'de'}",Success
