Version,Date,Title,Comment,Negative Score
Version_1,2024/9/6,1,"For the emperor!
A prologue passed and several zarube in the MP.
No dyes / sorties \ friezes and other fuck.

Who are these people who have in 1080 on RTX4080?
Yes, x, knows from what chamber they get out with their Shiza.
On my 3070ti flies at 90 Lock without drawdowns in general in 2560x1440

Ryzen 5 5600x
32gb 3600hz",-0.5093
Version_1,2024/9/10,1,"Product received for free

TOTAL BUG DEATH 2",-0.5119
Version_1,2024/9/6,0,"You can see that you want to be a dark tide of Star Warrior, but it is simply Dong Shi.

This game cannot keep a blocking posture. Each time you block it, you must counterattack, and you can only counterattack a monster.If you play the dark tide, if you push it, will you play with a zombie?

Remote strange damage is outrageous, and blood volume is higher than melee.

The most reversed is that you have to play EPIC to play Steam games, are you making me tease me?",-0.5162
Version_1,2024/9/11,1,"Fan Xiang's game optimization is very poor, the graphics card sounds the game response for a long time, and the exit does not respond to optimize the server to upgrade.I can't play now, I suggest that the producer treats the player's voices and suggestions carefully and seriously",-0.5199
Version_1,2024/9/10,0,"I'm sure this is a great game, but it's literally unplayable for me right now. My computer is well within the game's required specs, but within less than an hour, I had consistent issues with:

- Texture streaming. Textures sometimes simply wouldn't load, leaving the game a fuzzy mess
- Audio steaming. Music tracks stuttered, audio cut out during dialogue in missions
- Enemy lag. Somehow, in a single-player intro mission, Xenos were teleporting around as if I had connection issues
- Objects disappearing. Ammo crates, med kits just disappeared on interaction for some reason
- No ultrawide support. That's more a personal preference thing, but still

I'm happy for the people able to enjoy this game. Hopefully they address some of the blatant technical issues the game is facing eventually. Will look to try pick this up again in future.",-0.5247
Version_1,2024/9/6,1,"This isn’t just a game; it’s a pilgrimage into the grimdark glory of Warhammer 40K, where every bolter shot sings praises to the Emperor and every Tyranid screams in regret for ever invading the galaxy. You don’t play as a Space Marine — you ascend to one, crushing heretics and xenos alike with the elegance of a chainsword tearing through alien flesh.

The setting? A masterpiece of gothic despair, where every ruin and skull (so many skulls!) reminds you that the galaxy hates you — and you're here to hate it right back. Tyranids swarm like they own the place (spoiler: they don’t), and Chaos whispers temptations you answer with righteous ultraviolence.

Graphics? So good it’s practically a heretical experience. My PC now has a Machine Spirit that groans every time I boot it up. Gameplay? It’s like the Codex Astartes came to life and gave you a chainsword, saying, “Go forth and do the Emperor’s work.”

Flaws? Just one: I can’t shout FOR THE EMPEROR loud enough to match the carnage on-screen. But that’s not the game’s fault — that’s on me.

If you’ve ever wanted to stand against an endless swarm of Tyranids, crack their chitinous skulls, and tell Chaos where it can shove its warp nonsense, this is your moment.

10/10 — would purge xenos and heretics again. The Emperor approves.",-0.5258
Version_1,2024/9/10,1,hell yeah simulator,-0.5267
Version_1,2024/9/6,1,"I am iron
I am rough
I AM DOOM",-0.5319
Version_1,2024/9/8,0,No widescreen support is an AFFRONT to the EMPEROR,-0.5358
Version_1,2024/9/10,0,"70€ for six mission, no horde mode, no ultrawide support. Is a joke right?",-0.5358
Version_1,2024/9/11,0,"I can't get past the first cutscene even with all the supposed ""fixes"" I've found online. I have an average PC with a 3080, updated drivers, updated windows, verified files, un/reinstalled the game, re-verified files, restarted desktop, etc. I've tried at least 12 times by now and each time the game lags to a stop at the opening cutscene where I have to forcefully shut down the program with task manager. I seriously don't know what's wrong, but I may be foce to get a refund if I can't play the game I payed for.",-0.5388
Version_1,2024/9/10,1,"This game does not have several policy or dumb and similar postmodernist substitutes.Only a group of testosteronic males to the top of anabolizers, killing alien crabs by a god-emperor, in a gothic-apocalyptic galaxy ... ideal to dismiss and disconnect",-0.5423
Version_1,2024/9/7,0,"Optimize differences, online differences, and interstellar warrior crispy as a paper change zombie world war, take the old road of HD2, weaken the performance of the player",-0.5423
Version_1,2024/9/9,1,"If the game doesn't work, pray, even if the enemy is too strong, pray, pray even if your allies are wrong.
Then the Coron will give you strength
Blood blood!Skeleton on the skeleton jade!
Death to a false emperor!!!",-0.5469
Version_1,2024/9/10,1,"Most Satisfying kill game , FOR THE EMPERORRR!!!",-0.5516
Version_1,2024/9/6,1,"Not every blue is called Extreme Warrior, or a shit called Little Blue Bear.I don't need to be a gangster choice. I can foresee that the next PVP environment will be as dark and heavy as the 40K story.

Not Everyhthing Blue Is Called Ultramarine; It Could Also Be A Pile of Cracled Eac. ENT will be as dark as the story of 40K",-0.5574
Version_1,2024/9/9,1,"What is your life?
My honour is my life.
What is your fate?
My duty is my fate.
What is your fear?
My fear is to fail.
What is your reward?
My salvation is my reward.
What is your craft?
My craft is death.
What is your pledge?
My pledge is eternal service.",-0.5661
Version_1,2024/9/11,1,"What is your life?
My honour is my life.
What is your fate?
My duty is my fate.
What is your fear?
My fear is to fail.
What is your reward?
My salvation is my reward.
What is your craft?
My craft is death.
What is your pledge?
My pledge is eternal service

⠀⠀⠀⠀⠀⠀⠀⠀⢀⠨⠭⢭⣭⢭⡥⠭⠕⡀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⣀⠄⠂⠉⢷⣠⣼⡛⣘⣷⣀⡶⠉⠐⠠⡀⠀⠀⠀⠀⠀
⠀⠀⠀⢀⠬⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢧⡀⠀⠀⠀
⠀⠀⢀⠇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢰⡀⠀⠀
⠀⠀⡌⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢱⠀⠀
⠀⠀⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠸⠀⠀
⡔⠊⡀⠀⢰⡤⠄⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⠠⠤⡆⠀⢈⠐⢢
⡇⠀⢇⣀⠀⠈⢆⠀⠈⠁⠒⡠⠤⠤⢄⠒⠈⠁⠀⡠⠁⢃⣄⡸⠀⢸
⠃⠀⡆⠀⠀⠀⠄⠈⠐⠒⠈⠀⡤⢤⠀⠁⠒⠂⢁⠠⠂⠀⠀⢱⠀⠸
⠀⢀⣗⣲⢷⠀⠀⠀⠉⢀⡂⣤⡒⣒⣄⠠⡄⠉⠀⠀⠀⡶⣖⡺⡀⠈
⡀⡁⡏⣇⢿⠀⠈⠀⠰⢁⢷⡇⡷⣿⢸⡷⡈⠆⠀⠁⠀⡿⣿⢿⠈⢀
⠘⠧⡧⠴⣸⠀⠂⠀⡎⣇⡞⡏⣇⣼⢹⢲⢱⢓⠀⠀⠀⣇⠦⢼⠰⠂
⠀⠈⢏⡔⠈⠀⢏⢿⠁⢿⡇⣇⡿⣿⣼⢸⣿⠈⡝⠙⠐⠁⢪⡚⠁⠀
⠀⠀⠀⠑⠚⠀⠒⠙⠦⠜⠷⣏⣃⣛⣹⠾⠣⠴⠋⠒⠀⠐⠊⠀⠀⠀",-0.5661
Version_1,2024/9/8,1,My honor is my life. My duty is my fate. My fear is to fail. My salvation is my reward. My craft is death. My pledge is eternal service.,-0.5719
Version_1,2024/9/8,1,Negative reviews are HERECY,-0.5719
Version_2,2024/9/13,0,"Game is good, fix the bug for loading into missions, idk how this wasn't a day one patch.

The ship leaves then you are placed back on your battle barge. You then have to stand in a specific spot to trigger loading into the operation.

edit: The 3.0 patch i hoped would fix it. nope. Just made it worse now that the screen remains black after bug happens.

Insane this hasn't been fixed yet..",-0.5106
