Nickname,Title,Play Hours,Profile Link,Comment,Date,Language
Sentinowl,1,69,https://steamcommunity.com/id/Sentinowl/,"The game itself is also super fun. The PvP and the campaign are a joy to play. Your actions feel deliberate, almost as if you're controlling an Angel in a 1 Ton metal suit. I love it.

-------------------------------

It's sad that I have to say this, but it's wonderfully refreshing to be able to boot up a game, play for an hour or two, and close it again. Rather than boot it up, do my dailies, check my weeklies, check my season pass etc.


While this should be something to be praised in the year 2024, it is refreshing to see.",2024/9/14,en
Alesta,1,9.5,https://steamcommunity.com/id/Alesta/,"Hani derler ya, ""ilk oyunun devamı"" diye, işte bu tam olarak öyle bir şey.

Oyun, Ultramarines'in kahramanı Titus'la devam ediyor. Titus, geçmişte yaşadığı olaylardan sonra bir nevi kefaret ödemek için Deathwatch'a katılmış ve şimdi tekrar Ultramarines'in arasında. Hikaye, Tyranid istilasıyla başlıyor ve bu noktada, ""savaştan başka bir şey bilmeyen bir Space Marine"" olgusunu tam anlamıyla yaşıyorsunuz. Titus'un öyküsü, savaşın ve kahramanlığın neredeyse mitolojik bir anlatımı gibi, ama açıkçası ""kahramanlık"" dediğimiz şey burada biraz farklı işliyor. Kahramanlık, daha çok Imperium'u savunma ve düşmanı yok etme üzerine kurulu.

Warhammer 40,000: Space Marine 2 
A Screenshot of Warhammer 40,000: Space Marine 2
By: Droveck


Titus'ı kontrol etmek inanılmaz tatmin edici. Her adımınız düşmanları titretiyor, her vuruşunuz onları yok ediyor. Oyun, sizi düşmanlarınıza karşı uyanık kalmanız konusunda zorluyor. Çünkü sadece güçlü olmak yetmiyor, zamanlamanız ve kaçmanız önemli. Özellikle Tyranid'lerin hamlelerine karşı savunma yapmak, sizi oyunda sürekli uyanık tutuyor.

Warhammer evrenine sadık kalarak, oyun grafikleri ve ses tasarımı gerçekten etkileyici. Games Workshop'un minyatürlerini hayata geçirmişler adeta. Her düşman, her ortam, sanki masaüstü oyununuzdan fırlamış gibi. Savaşın ortasında, gotik yapılar arasında dolaşırken, atmosfer gerçekten sizi içine çekiyor.




Üç oyunculu co-op modu kesinlikle başarılı ve oyunu eğer moda girerek oynayan arkadaşlarınız varsa daha zevki kılıyor.Pvp modu ise her ne kadar Space Marinleri kağıt askerlere çevirse de iyi dengelenmiş ve gears oyunu oynuyormuş hissiyatını veriyor.



Warhammer 40,000: Space Marine 2, güzel bir deneyim. Hem Warhammer evrenine yeni olanlar için, hem de eski fanlar için mükemmel bir tazeleme. Oynanışın derinliği, hikayenin atmosferi ve multiplayer modunun kalitesi, bu oyunu 2024'ün akılda kalıcı oyunlarından biri yapıyor. Eğer aksiyon, strateji ve biraz da karanlık bilim-kurgu seviyorsanız, bu oyunu kesinlikle denemelisiniz. Tatmin edici, heyecan verici ve Warhammer evrenine dönüşünüzde size eşlik edecek güzel bir yapıt.

+Saber Interactive, Warhammer evrenini beklenmedik şekilde iyi işlemiş
+Vuruş hissiyatı ve yürürken hissedilen ağırlık mükemmel
+Kalabalık sahneler ve geniş ölçekli Kadaku manzaraları çok başarılı
+Parry ve takla sistemi oyuna iyi yedirilmiş
+Karakterlerin boyutları,davranışları araştırılarak özenlice ve doğru yapılmış

-Ne yazık ki zayıf diyaloglar
-Potansiyeli kullanılmamış yan karakterler,sonlara kadar tekrar eden yan karakter gelişimi
-Düşman çeşitliliği yok denecek kadar az ve herhangi bir taktik kullanmanızı gerektiren bir bölüm bulunmuyor
-Bölümlerde ilerleme mantığı hep kayayı kırmak veya kapıları açmaktan ibaret
-DLSS ve FSR kullanımı başarısız
-Serinin geleceğine dair bir yatırım yapılmamış",2024/9/20,tr
Itsuka Kotori207,1,1.1,https://steamcommunity.com/profiles/76561198137736557/,星际战士越多，叛变的星际战士越多，混沌的星际战士越多，帝国的星际战士越少。所以星际战士越多，星际战士越少。,2024/9/13,zh-cn
Fattest_falcon,1,19.8,https://steamcommunity.com/id/wabungo/,this game feels like it was made in the mid 2000's/early 2010's but like in a good way,2024/9/14,en
WassySK,1,68.7,https://steamcommunity.com/id/WassySK/,"This feels like playing one of those games that came out during the years 2005-2010 where each game had to have a campaign, co-op and pvp. It is almost unbelievable that we can still experience a good game in this day and age.",2024/9/14,en
userpig,1,95.1,https://steamcommunity.com/id/userpig/,"Never cared much about Warhammer until this game showed me the error of my ways and made me cast away the heresy and fully embrace the Emperor's glorious light. No longer do I wander in the shadow of ignorance, for Space Marine 2 has torn asunder the veil that clouded my mortal sight.

With each righteous strike of the chainsword, I felt the will of the Emperor coursing through my veins. The xenos or the heretic—none can stand before the might of the Adeptus Astartes, and now I, too, feel the weight of that sacred duty upon my shoulders. Every battle is a prayer to His undying majesty, every victory a testament to the purity of the Emperor's cause.

In this game, I learned what it truly means to be a warrior of the Imperium: to purge the unclean without hesitation, to stand unwavering in the face of annihilation, and to know that failure is not an option, for failure would mean the death of mankind itself. This is no mere entertainment—this is an initiation into the sacred brotherhood of those who fight for the survival of the Imperium.

Space Marine 2 is not just a game—it is a revelation, a holy writ in digital form, and a reminder that we must be ever vigilant, ever faithful, and ever ready to cleanse the galaxy of those who would defy the Emperor's will.

Praise be to the God-Emperor! Burn the heretic, purge the unclean!",2024/9/13,en
Imparat0r,1,137.9,https://steamcommunity.com/id/Imparat0r/,"A salute to all the fallen battle brothers who couldn't be here with us after those 12 years of waiting.

This game is everything we were waiting for. A satisfying continuation of Titus's story.

A PvE mode that lets you play with 2 other battle brothers against the infinite hordes of Xenos filth and chaos scum.

A 6v6 PvP mode with three maps. Good balance between classes and weapons.

Pros:
- Phenomenal voice acting (Rollo ftw!)
- Breathtaking visuals
- Satisfying campaign
- Online modes are fun
- NO micro transactions
- NO daily missions, just get in and play
- Extensive customization options
- Good optimization

Cons:
YOU DARE QUESTION THE PURITY OF THIS FINE AND WORTHY SEQUEL? To even think of it is heresy. You have been marked for careful observation.

The Emperor protects.",2024/9/14,en
Crazy_Chuck,1,195.8,https://steamcommunity.com/profiles/76561198035776207/,"Game is great, Buy it. Ignore the game review sites.

PC Gamer gave Space Marines 2 a 60/100 but gave Gollum a 64/100 and Concord nothing but praise.
Never trust the corpos

Edit: I meant to say Dustborn not Concord, Apologizes I confused corpses.",2024/9/23,en
Jek,1,33.6,https://steamcommunity.com/id/JekFighter/,Reminds me of something I've lost. A genuine game. A good game. It's simple and short. I love it.,2024/9/13,en
GGININDER,1,127.2,https://steamcommunity.com/profiles/76561198219199383/,"我的隊友有一名亞洲人一名黑人 他們是受到22道植入物強化的基因改造戰士

並且他們為了帝皇 為了人類種群付出了一切

我並不反感我玩的遊戲裡出現多元內容 不論是膚色 性別與性向 只要讓玩家有選擇 只要它忠於遊戲與造就它的故事設定

我不吃辣 你吃辣 我尊重您對於食物的偏好

但以平等多元之名 往我的碗裡倒辣椒 那就是你們的問題了",2024/9/21,ko
