Nickname,Title,Play Hours,Profile Link,Comment,Date,Language
A1SOR,1,77.5,https://steamcommunity.com/id/ALSOR/,"Выбил все ачивки и тезисно рассказываю о Space Marine 2

Ирония в том, что я терпеть не могу выбивать ачивменты, платины и вот это вот всё. Только в исключительных случаях, когда игровой процесс слишком уж нравится. Обычно я просто прохожу игру и даже не открываю список доступных достижений.

Но в этом случае что-то пошло не так. От игры просто не хотелось отрываться. Ну и я решил, что раз уж я завис в ней, то почему бы и не выбить всё, что в ней есть. Счастье, что всё, что по сути нужно делать, — это просто играть. Исключения — это несколько ачивок по сбору аудиологов и «убей нечто, пока оно что-то там делает». Но их немного, так что сильно отвлекаться от заруб не нужно было.

Ну и после такого, хочу кратко подытожить свой экспириенс.


Первое, что бросается в глаза при запуске игры, — картинка. В особенности — качественно проработанные задники и окружение. Технологически игра не предлагает что-то сверхъестественное. Чего не скажешь о величественной архитектуре и интерьерах, о брутальных баталиях, происходящих на фоне и о пристальном внимании к деталям. Художники отлично постарались, т. к. всё это задает необходимый настрой.


А именно настрой на непрекращающийся экшен, где в равных пропорциях замиксованы зрелищный слэшер с простой комбо-системой и неплохой шутер от третьего лица, что делает боевую систему SM2 в некотором роде оригинальной.









Уровни в PVE и в кампании не могут похвастаться комплексностью и разветвленностью. Однако, это никогда не имело для меня огромного значения в играх этого жанра. Самое главное, чтобы лвл-дизайн играл на руку основным системам и не мешал игре быть фановой. Так оно и работает в SM2. Максимум, куда можно повернуть с главной дороги — это за аудио-логами, да за парой ящиков боеприпасов и временных улучшений для брони. В остальном — игра не препятствует самого главному — бесконечной мясорубке. И это прекрасно.


На мое счастье, я проходил игру в дуо-коопе. И эта игра великолепно работает именно в этом режиме. Боты в игре невероятно тупы и на всё что они способны — это поднять упавшего тиммейта. И то не всегда. С точки зрения их боевой эффективности и пользы в выполнении совместных задач, здесь всё плохо. Так что мой вам совет — играйте хотя бы с одним другом, а в идеале в фул-стаке.

Невероятно примитивный, до смеха пафосный и если вы не являетесь фанатом вселенной, то это, вероятно, будет самым слабым аспектом для вас. Однако сказать, что он был полностью провальным — я тоже не могу: игра пытается в интриги, развитие персонажей и даже попытается удивить клиффхэнгером, который будет понятен только тем, кто играл в первую часть. В общем сюжет здесь — это чистая функция, являющаяся обоснованием для непрекращающейся мясорубке.

Отдельно хочу выделить решение разработчиков нарративно связать основной сюжет и PVE-операции. Пока Тит разбирается с самыми важными вещами, где-то на фоне другие ребята решают что-то второстепенное, что помогает основной команде. Получается интересное переплетение. При этом никто не запрещает пройти сначала PVE миссии, а потом сюжет. В какой-то степени это может даже повлиять на восприятие основной истории.",2024/11/28,ru
LukeleyDuke,1,103.9,https://steamcommunity.com/id/lukeleduke/,"Bruh. This game is one of the Greatest to have come out in 2024, if they had the marketing budget of blackops, is would blow it out of the water. The thing is, it's not even a first person shooter, but it puts all the new COD garbage to shame. Buy it now.

PURGE THE HERETIC
BURN THE UNCLEAN
CULL THE XENOS",2024/11/23,en
Templestoner,1,78.7,https://steamcommunity.com/id/Templestoner/,"Мало кто в курсе, но Фрирен из небезызвестного анимэ, произнося ту самую фразу «Ты можешь подарить такую вещь мужчинам, и они будут в восторге», имела ввиду именно копию ""Warhammer 40000: Space Marine 2"". А уже потом создатели решили приплести к сказанному какое-то зелье.

Эта игра - отличная история, как группа бойцов в составе инвалида 3-й группы с ПТСР, подозрительного параноика с тщательно скрываемой завышенной самооценкой, и бывалого вояки с развитым иммунитетом к психическим воздействиям преодолевают взаимное непонимание в личном общении, последствия недальновидных решений командования и трудности боевого слаживания на фоне непрекращающейся резни и хаоса в различных боевых условиях. И у них всё получится.)",2024/12/2,ru
EMOJI QUEEN,1,101.5,https://steamcommunity.com/profiles/76561198350008392/,还是把很多提名给它了。虽然游戏平衡性和服务器应该是制作组里的混沌余孽搞的，但在现如今抽象魔怔壬频出的大背景下，这种纯粹的血浆飞溅，爱憎分明，猛男突突突式的作品都tmd算得上一股清流了。,2024/11/28,zh-cn
Morningstar,1,8.5,https://steamcommunity.com/profiles/76561198116794381/,"GOTY

YouTube™ Video: GosT - ""Behemoth (Perturbator remix)"" [Official - 2015]",2024/11/14,en
Michael,1,10.4,https://steamcommunity.com/profiles/76561198134146269/,"Product received for free

Einleitung

Captain Titus, als Strafe zur ""Todeswache"" versetzt kehrt zurück in den regulären Dienst. Du schlüpfst in die Rolle von Leutnant Titus, das Imperium braucht dich, die Tyrannieden und ein noch viel mächtigerer Feind bedrohen die Menschheit. Du kämpfst dich durch wahre Gegnerhorden und musst dich auch noch für deine Vergangenheit rechtfertigen.

Gameplay

Warhammer 40K Space Marine 2 teilt sich in drei Bereiche auf. Als treuer Soldat des Imperiums stellst du dich natürlich zuerst der leider viel zu kurzen Story. In einzelnen Missionen kannst du deine Klasse und Ausrüstung verbessern. Der klassische PVP-Modus wirft dich dann in den Kampf um den Titel des tödlichsten Space Marine.

Zur Story an sich möchte ich nichts weiter verraten. Zwei Dinge möchte ich aber auf jeden Fall schreiben. Die Geschichte wird in actionreichen Szenen und in deutscher Sprache erzählt. Leider leider ist sie aber viel zu schnell zu Ende erzählt. Generell hinterlassen Grafik und Sound dabei und im Spiel allgemein einen sehr guten Eindruck.

Im Story-Modus kämpft man in einem drei Mann Trupp gegen wahre Gegner Horden. Die NPC Marines machen dabei einen guten Job, sie kennen den Weg, man kann sich allerdings auch nicht wirklich verlaufen, und führen die ein oder andere Wiederbelebung durch wenn Titus zu schnell in eine Gruppe Gegner gesprungen ist. Die NPC Marines können aber auch durch echte Spieler ersetzte oder konfiguriert werden. Zwar können vor jeder Mission die Waffen angepasst werden, jedoch liegen zwischen den ganzen Leichenbergen genügend Waffen und Munition herum. Hier und da ist ein Wechsel ratsam, das merkt man dann aber schon.

Zusätzlich zum Story-Modus können noch einzelne Missionen gespielt werden. Hier könnt ihr aus verschiedenen Klassen wählen und diese dann mit passenden Waffen ausstatten. Hier sind allerdings keine NPCs vorgesehen, ihr braucht menschliche Kameraden für den Kampf. Startet ihr allein eine Mission, weist das Spiel euch menschliche Teammitglieder zu und das Schlachten kann beginnen.

Der PVP-Modus ist genau das wonach es erklingt. Als wahrer Soldat des Imperators kämpfe ich jedoch nicht gegen die eigenen Kameraden!


Leider muss ich hier ein sehr dunkles Kapitel aufschlagen. Zeitweise war ich so weit ein negatives Review zu schreiben und Warhammer 40K Space Marine 2 nicht zu empfehlen. Wer bis hier her gelesen hat, weiß, dass mir die Story sehr wichtig ist, blöd nur, dass Spiel in so gut wie jeder Sequenz abgestürzt ist. Es galt also das Spiel neu zu starten und wieder bis zu dieser Stelle zu spielen um die dann wieder eingespielte Sequenz überspringen zu können.

Dass der Lendenschurz und sogar das Metallschloss am Arm von Titus im Fahrstuhl, der sich sehr, sehr langsam bewegt, nach oben geschleudert werden, ist gegen die Abstürze natürlich nur eine Kleinigkeit. Ich fand es aber lustig, daher wollte ich es nicht unerwähnt lassen.



Top erzählte Story
Gemetzel ohne Ende
viele verschiedene Waffen
gute deutsche Sprachausgabe
super Grafik


regelmäßige Abstürze der Zwischensequenzen
viel zu kurze Story






Eine Toll erzählte Geschichte mit sehr guter Grafik und einem Top Sound inklusive stimmiger deutscher Sprachausgabe. Besser kann die Schlacht um das Universum nicht geführt werden. Doch halt! Ohne die Abstürze wäre es natürlich noch besser. Ich habe das Spiel auf zwei Rechnern und mit mehreren Grafikkarten getestet, leider ohne Erfolg. Ich empfehle das Spiel dennoch und werde hier schreiben, ob das Problem behoben ist.",2024/11/18,de
Hodie,1,12.2,https://steamcommunity.com/id/Hodie/,"My teenage son loves it, but I advise him not to tell his mother about it.",2024/11/29,en
point & click,1,86.8,https://steamcommunity.com/id/clicksclicks/,"Slaughtering 41,000 enemies was glorious. Magazine out, magazine in. Wonderful campaign and Operations are a nice continuation. My only complaint is with Operations. If you're playing with a bot and all humans go down, the game ends. I wish we could see if the bot manages to stay alive while our countdown runs out and then we can get back into the game. Exploiting the Bulwark HP regen was awesome while it lasted. Leveling weapons and classes was super easy, and always being able to find randoms for any mission you want to play was nice too. I've been playing since pre-release and haven't had any issues with any of the updates. Ready your Bolters. Lictor these nuts.",2024/11/20,en
Carnival.Corpse,1,124.5,https://steamcommunity.com/id/carnival_corpse/,"The Emperor has provided us with everything we wanted, brothers. Enjoyable story campaign with great visuals, even better PVE operations & fun PVP - very rarely you'll get to experience the whole package in a single game in today's time. And it's executed quite brilliantly as well.

I just wish they could make the gameplay of the campaign as varied & customizable as the Operations mode. Ops are just thousands times more fun. They had the system implemented already, but didn't do it for the campaign. At least, community mods have this covered. And glad to see the devs supporting mods officially as well.

Also, we need FOV slider badly. Ultrawide 21:9 support is at least serviceable, but 32:9 support is a complete whack.",2024/11/30,en
Бальмунг,1,48.9,https://steamcommunity.com/id/Dm_Balion/,"Отличный экшн-шутер и одна из лучших игр по Вахе 40k со времен Dawn of War. Эпично, красиво, сочная боевка и звук. Внимание к деталям и окружающие виды - мое почтение и нещадная эксплуатация кнопки скриншота )
Отдельный кайф доставляет возможность использовать адаптивные триггеры на ПК - болтер громыхает в руках, а меч делает вжж-жж-ж!
За Императора, братья!",2024/11/30,ru
flliper,1,8.9,https://steamcommunity.com/id/flliper/,"Старый добрый спиномозговой шутер с повторяющимися уровнями. Стрельба на дуалсенсе сделана классно. Сама игра копия первой части (поэтому поиграйте в первую, ничего не потеряете. Просто хороший графон и убогие катсцены в середине игры.",2024/11/16,ru
yigitburakyuksel,1,20.2,https://steamcommunity.com/profiles/76561199787917021/,oyunda irkçi olmaktan gurur duyan bir imparatorluğun askeriyiz ve bu oyunu oynamak benim için bir gurur gibi,2024/11/13,tr
💥SPONGE💥 (>N<),1,109.7,https://steamcommunity.com/id/nadespam/,"38hrs in and probably less than 5% of the solo challenges completed, haven't even tried PVP yet. Love this game so far, skill development, character customisation, weapon progressions and most of all the community, a bunch of helpful, chilled players.",2024/11/22,en
NUNO,1,50,https://steamcommunity.com/profiles/76561198416193889/,"Sem lacração=GOTY.

My Honour Is My Life.",2024/11/28,en
Archy,1,266,https://steamcommunity.com/id/archy18/,"An absolutely brilliant game, that really encapsulates the feeling of the bulk of a Space Marine. You get the feeling of sense and bulk, which is not always present in depictions of Space Marines.

While there were initially issues with PvE missions not starting, these were fixed quickly. Gameplay, visual design and sound design are all great. A worthy successor to Space Marine I, and definitely my pick for GOTY.",2024/11/30,en
